ticker,avg_sentiment_score,sentiment_std,mention_count,min_sentiment_score,max_sentiment_score,avg_confidence,avg_positive_score,avg_negative_score,avg_neutral_score,dominant_sentiment,date,returns
TESLA,0.0,,1,0.0,0.0,0.4837,0.0397,0.4766,0.4837,neutral,2018-09-11,-2.1225884732538947
TESLA,0.0,0.0,4,0.0,0.0,0.808,0.0704,0.1216,0.808,neutral,2018-09-12,3.9722289113205855
TESLA,0.0,,1,0.0,0.0,0.8971,0.0832,0.0197,0.8971,neutral,2018-09-17,-0.12195207050056389
TESLA,-0.4373,0.3838,3,-0.7181,0.0,0.648,0.135,0.4419,0.423,negative,2018-09-18,-3.3509697095844393
TESLA,0.1389,1.1331,2,-0.6623,0.9401,0.8012,0.4801,0.3388,0.1811,negative,2018-09-20,-0.23076098021079794
TESLA,0.0,0.0,2,0.0,0.0,0.7107,0.044,0.2453,0.7107,neutral,2018-09-25,0.4371346808820453
TESLA,-0.3278,0.4503,5,-0.871,0.0,0.8642,0.0542,0.3616,0.5843,neutral,2018-09-28,-13.901536785757184
TESLA,-0.1602,0.3205,4,-0.6409,0.0,0.7563,0.1253,0.2051,0.6696,neutral,2018-10-01,17.347133498487533
TESLA,-0.8023,,1,-0.8023,-0.8023,0.8023,0.107,0.8023,0.0906,negative,2018-10-02,-3.11554076004682
TESLA,-0.3722,0.4456,4,-0.8886,0.0,0.7916,0.0749,0.39,0.5352,negative,2018-10-04,-4.399589402452852
TESLA,-0.5128,0.4472,3,-0.8215,0.0,0.8102,0.1058,0.5346,0.3596,negative,2018-10-05,-7.053903829718033
TESLA,0.0,0.0,2,0.0,0.0,0.6851,0.1341,0.1807,0.6851,neutral,2018-10-10,-2.252663592700077
TESLA,0.0,0.0,3,0.0,0.0,0.8599,0.0902,0.0499,0.8599,neutral,2018-10-11,-1.810191714594478
TESLA,0.0,0.0,2,0.0,0.0,0.921,0.0615,0.0176,0.921,neutral,2018-10-12,2.5968466473239804
TESLA,-0.3122,0.4416,2,-0.6245,0.0,0.5778,0.2915,0.3175,0.3911,negative,2018-10-16,6.548787831763603
TESLA,-0.2546,0.4411,3,-0.7639,0.0,0.8573,0.0372,0.2854,0.6774,neutral,2018-10-17,-1.7390290644313078
TESLA,0.0,,1,0.0,0.0,0.5382,0.4538,0.008,0.5382,neutral,2018-10-18,-2.8957302566477883
TESLA,0.3137,0.4436,2,0.0,0.6273,0.638,0.4806,0.0602,0.4592,neutral,2018-10-19,-1.481572143560017
TESLA,-0.1529,0.6211,5,-0.9632,0.4684,0.6428,0.256,0.4125,0.3315,negative,2018-10-24,-1.9174515010206283
TESLA,0.199,1.0365,2,-0.5339,0.9319,0.7329,0.6468,0.2881,0.0651,negative,2018-10-25,9.136917152114975
TESLA,0.0,,1,0.0,0.0,0.8491,0.0463,0.1046,0.8491,neutral,2018-10-26,5.094321706509364
TESLA,0.0,0.0,3,0.0,0.0,0.8405,0.1404,0.0192,0.8405,neutral,2018-10-29,1.1937184073759655
TESLA,0.0,0.0,2,0.0,0.0,0.8286,0.16,0.0115,0.8286,neutral,2018-11-01,2.0633172207841666
TESLA,0.8537,0.1357,2,0.7577,0.9496,0.8537,0.8537,0.074,0.0724,positive,2018-11-02,0.6186833410645631
